gp_id,GP_Name,GP_Asset_Class,GP_Sector,GP_Sub_Sector,total_invested,num_investments,num_portcos,num_funds
15182,Queka Real Partners,Private Equity,Buyout,Small Buyout,109.79516,7,7,7
1594,Hudson Ferry Capital,Private Equity,Buyout,Small Buyout,108.605,10,10,10
17227,Platina Equity Solutions,Private Equity,Buyout,Small Buyout,108.6,10,10,10
9572,GroundForce Capital,Private Equity,Venture Capital,Balanced,108.44358,27,27,27
18329,Siparex Midcap,Private Equity,Buyout,Small Buyout,108.4,23,23,23
6058,HIG BioVentures,Private Equity,Venture Capital,Balanced,108.15033,13,13,13
2468,Pechel Industries,Private Equity,Buyout,Small Buyout,107.9,8,8,8
15312,BlackRock Europe Property - Core,Real Estate,Core / Core+,Europe Core,107.5,3,3,3
7343,Zodius Capital,Private Equity,Growth Equity,Medium Growth Equity,107.32415,12,12,12
10083,Ludlow Ventures,Private Equity,Venture Capital,Early Stage,107.2577,160,160,160
5365,TTV Capital,Private Equity,Venture Capital,Early Stage,107.19083,30,30,30
14895,Bluefield,Real Assets,Infrastructure,Renewables,107.10908,5,5,5
10341,Nyca Partners,Private Equity,Venture Capital,Early Stage,107.0354,65,65,65
17122,Frst,Private Equity,Venture Capital,Early Stage,106.78368,47,47,47
25337,Fifth Century Partners,Private Equity,Buyout,Small Buyout,106.748,7,7,7
15782,Resolve Growth Partners,Private Equity,Growth Equity,Small Growth Equity,106.04702,9,9,9
5352,Rock Hill Capital Group,Private Equity,Buyout,Small Buyout,106.03,14,14,14
14045,Kindred Capital,Private Equity,Venture Capital,Early Stage,105.60924,51,51,51
14709,Harpoon VC,Private Equity,Venture Capital,Early Stage,105.27278,37,37,37
2850,SGAM AI Private Equity,Private Equity,Buyout,Small Buyout,103.98212,12,12,12
6283,Blume Ventures,Private Equity,Venture Capital,Early Stage,103.52668,155,155,155
14717,Ardian Clean Energy,Real Assets,Energy,ENR Diversified,103.33435,7,7,7
17585,Exceptional Capital,Private Equity,Venture Capital,Early Stage,103.31,49,49,49
5320,New Capital Partners,Private Equity,Growth Equity,Small Growth Equity,103.06736,18,18,18
17462,Crow Holdings Build to Hold,Real Estate,Value-Add,US / Global Large Market,102.12274,7,7,7
11300,Tilia Holdings LLC,Private Equity,Buyout,Small Buyout,101.66372,4,4,4
634,"CapitalWorks, LLC",Private Equity,Buyout,Small Buyout,101.098,21,21,21
16160,Coral Tree Partners,Private Equity,Buyout,Small Buyout,100.81569,3,3,3
14755,Carr's Hill Partners,Private Equity,Buyout,Small Buyout,100.72,5,5,5
24760,Refactor Capital,Private Equity,Venture Capital,Seed,100.58817,110,110,110
4631,Fort Point Capital,Private Equity,Buyout,Small Buyout,100.4,9,9,9
6230,Commerce Ventures,Private Equity,Venture Capital,Balanced,100.3709,107,107,107
17004,FSN Capital Compass,Private Equity,Buyout,Small Buyout,100.23726,4,4,4
9986,Origin Ventures,Private Equity,Venture Capital,Early Stage,100.0452,50,50,50
1500,Hamilton Robinson,Private Equity,Buyout,Small Buyout,99.845352,11,11,11
6459,Signia Venture Partners,Private Equity,Venture Capital,Early Stage,99.326668,39,39,39
9931,Forbion Capital Partners CoInvest,Private Equity,Venture Capital,Balanced,99.32,10,10,10
14884,VMG Catalyst,Private Equity,Venture Capital,Early Stage,99.264153,11,11,11
6096,Fulcrum Equity Partners,Private Equity,Growth Equity,Small Growth Equity,98.842003,19,19,19
17199,Nordic Alpha Partners,Private Equity,Growth Equity,Small Growth Equity,98.425499,10,10,10
16540,Speyside Equity,Private Equity,Buyout,Small Buyout,96.816231,9,9,9
2351,Octopus Asset Management,Private Equity,Venture Capital,Balanced,96.717468,8,8,8
11291,F2 Venture Capital,Private Equity,Venture Capital,Early Stage,95.431374,55,55,55
16957,Plymouth Growth Partners,Private Equity,Venture Capital,Early Stage,95.257393,20,20,20
26083,Fidelity Real Estate Europe,Real Estate,Value-Add,Europe,95.09153,1,1,1
10855,SSM Partners,Private Equity,Venture Capital,Expansion,94.5,16,16,16
7193,Benhamou Global Ventures,Private Equity,Venture Capital,Early Stage,94.383461,29,27,29
6671,NextEquity,Private Equity,Buyout,Small Buyout,94.166641,24,24,24
14487,Great Range Capital,Private Equity,Buyout,Small Buyout,93.93885,11,11,11
25197,AXA Europe Credit - Senior,Private Debt,Real Estate Credit,Senior,93.67244,4,4,4
16988,Footwork,Private Equity,Venture Capital,Early Stage,93.543716,15,15,15
17487,Pay It Forward Ventures,Private Equity,Venture Capital,Early Stage,92.736343,125,125,125
11890,Health Velocity Capital,Private Equity,Growth Equity,Small Growth Equity,92.639374,11,11,11
15287,LBA Realty Office,Real Estate,Value-Add,US Small Market,92.48584,4,4,4
17027,VentureFriends,Private Equity,Venture Capital,Early Stage,92.459167,57,57,57
15851,Main Foundation,Private Equity,Buyout,Small Buyout,92.326813,10,10,10
11287,Bridgepoint Growth Capital,Private Equity,Growth Equity,Small Growth Equity,92.0382,11,11,11
17494,Madison River Capital,Private Equity,Buyout,Small Buyout,92.013901,2,2,2
18039,Kamaroopin,Private Equity,Growth Equity,Small Growth Equity,92.010483,7,7,7
9222,Juniper Capital,Real Assets,Energy,Exploration and Production,91.099998,8,8,8
16556,Bessemer India,Private Equity,Venture Capital,Balanced,91.04847,9,9,9
5391,Cultivian Ventures,Real Assets,Natural Resources,Agriculture,90.900002,21,21,21
347,Avigo Capital Partners,Private Equity,Buyout,Small Buyout,90.492538,16,16,16
14565,Blue Horizon Ventures,Private Equity,Venture Capital,Early Stage,89.926003,22,22,22
1556,High Street Capital,Private Equity,Buyout,Small Buyout,89.640533,16,16,16
911,Creathor Ventures,Private Equity,Venture Capital,Early Stage,89.5,41,41,41
11080,Latticework Capital Management,Private Equity,Buyout,Small Buyout,89.300003,7,7,7
7330,Golden Gate Ventures,Private Equity,Venture Capital,Early Stage,89.027992,64,62,64
16651,Giant Ventures,Private Equity,Venture Capital,Early Stage,88.828217,63,63,63
11091,"Material Impact Management, LLC",Private Equity,Venture Capital,Early Stage,88.80513,22,22,22
9830,Founders Circle Capital,Private Equity,Venture Capital,Direct Secondaries,88.699997,17,17,17
